channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
-325219,-4294901,-3279684,-3308440,-2615347,-3113509,-2945892,-8388608,1404688521.653,0
-325341,-4294714,-3278362,-3306691,-2614536,-3112419,-2944440,-8388608,1404688521.653,0
-325208,-4295520,-3279731,-3308580,-2615666,-3113325,-2945912,-8388608,1404688521.669,0
-325070,-4295114,-3278752,-3306778,-2614679,-3112792,-2944801,-8388608,1404688521.669,0
-325073,-4294911,-3279435,-3308114,-2615397,-3113171,-2945859,-8388608,1404688521.685,0
-325390,-4295690,-3280393,-3308175,-2615284,-3114416,-2946469,-8388608,1404688521.685,0
-325053,-4293615,-3277749,-3306772,-2614833,-3111686,-2944281,-8388608,1404688521.7,0
-325197,-4295747,-3280701,-3309181,-2615534,-3114473,-2946787,-8388608,1404688521.7,0
-324924,-4293765,-3277999,-3307257,-2614611,-3112037,-2944619,-8388608,1404688521.716,0
-325286,-4295634,-3280616,-3309354,-2615559,-3114636,-2947040,-8388608,1404688521.716,0
-325283,-4293966,-3278109,-3306976,-2614524,-3112408,-2944821,-8388608,1404688521.731,0
-324971,-4293422,-3278228,-3307657,-2614937,-3112279,-2945104,-8388608,1404688521.731,0
-325092,-4295129,-3279720,-3307701,-2614556,-3114234,-2946208,-8388608,1404688521.747,0
-325301,-4293451,-3277828,-3307026,-2614915,-3112126,-2945012,-8388608,1404688521.747,0
-325494,-4295614,-3279836,-3307525,-2614908,-3114562,-2946465,-8388608,1404688521.763,0
-325019,-4293583,-3277634,-3306662,-2614908,-3112399,-2944970,-8388608,1404688521.763,0
-4194304,-325149,-4295641,-3280192,-3308131,-2615122,-3115223,-2947001,1404688521.763,0
-325087,-4294428,-3278444,-3306686,-2614462,-3113669,-2945387,-8388608,1404688521.778,0
-324971,-4294254,-3279074,-3308099,-2615349,-3113962,-2946238,-8388608,1404688521.778,0
-324997,-4294489,-3278855,-3306829,-2614594,-3114171,-2945752,-8388608,1404688521.794,0
-325149,-4294394,-3279131,-3308526,-2615701,-3113964,-2946402,-8388608,1404688521.794,0
-325269,-4295261,-3279578,-3307811,-2614883,-3114851,-2946247,-8388608,1404688521.809,0
-325164,-4293809,-3277942,-3307239,-2613504,1004,2721529,-1454281,1404688521.809,0
-325250,-4295390,-3280620,-3309304,-2615555,-3115689,-2947302,-8388608,1404688521.825,0
-324799,-4293641,-3278161,-3306456,-2613887,-3113677,-2945061,-8388608,1404688521.825,0
-324726,-4294547,-3280031,-3308244,-2614902,-3115462,-2946993,-8388608,1404688521.841,0
-324856,-4293191,-3277793,-3305921,-2614086,-3113581,-2944767,-8388608,1404688521.841,0
-324842,-4294195,-3279664,-3307846,-2615132,-3115064,-2946651,-8388608,1404688521.856,0
-325013,-4294635,-3279821,-3307107,-2614638,-3115603,-2946496,-8388608,1404688521.856,0
-324620,-4292583,-3277364,-3306224,-2614554,-3112899,-2944579,-8388608,1404688521.856,0
-324754,-4294716,-3279741,-3307493,-2614404,-3115436,-2946427,-8388608,1404688521.872,0
-324669,-4292206,-3276797,-3306083,-2614207,-3112434,-2944065,-8388608,1404688521.872,0
-324991,-4294475,-3279821,-3308465,-2615280,-3115324,-2946570,-8388608,1404688521.887,0
-324771,-4292544,-3277068,-3306689,-2614549,-3112359,-2944129,-8388608,1404688521.887,0
-324751,-4292976,-3278159,-3308037,-2615054,-3113082,-2945244,-8388608,1404688521.903,0
-325021,-4294175,-3278938,-3307206,-2614034,-3114325,-2945560,-8388608,1404688521.903,0
-324799,-4293037,-3278042,-3307424,-2614601,-3113212,-2945301,-8388608,1404688521.919,0
-324747,-4294574,-3279387,-3307036,-2614095,-3114906,-2946155,-8388608,1404688521.919,0
-324757,-4292737,-3277755,-3306669,-2614558,-3113081,-2945208,-8388608,1404688521.934,0
251,728510,7945933,-676147,-7623976,1852368,7813843,711296,1404688521.934,0
-324801,-4292558,-3277285,-3304889,-2613542,-3113216,-2944563,-8388608,1404688521.95,0
-325116,-4293314,-3278768,-3306549,-2614703,-3114447,-2946032,-8388608,1404688521.95,0
-324599,-4292260,-3276783,-3303991,-2613464,-3112898,-2943849,-8388608,1404688521.965,0
-324864,-4293089,-3278203,-3306381,-2615025,-3113884,-2945413,-8388608,1404688521.965,0
-324767,-4294232,-3279162,-3306448,-2614627,-3115112,-2946015,-8388608,1404688521.965,0
-324519,-4291981,-3276531,-3304848,-2614084,-3112502,-2943913,-8388608,1404688521.981,0
-324618,-4293902,-3279419,-3306811,-2614546,-3115130,-2946282,-8388608,1404688521.981,0
-324532,-4291446,-3276641,-3304932,-2613847,-3112365,-2943961,-8388608,1404688521.997,0
-324692,-4293516,-3279492,-3307289,-2614532,-3114956,-2946422,-8388608,1404688521.997,0
-324731,-4291957,-3277153,-3305657,-2613966,-3112629,-2944432,-8388608,1404688522.012,0
