@relation jim-filtered-data-weka.filters.unsupervised.attribute.Remove-R9

@attribute channel_0 numeric
@attribute channel_1 numeric
@attribute channel_2 numeric
@attribute channel_3 numeric
@attribute channel_4 numeric
@attribute channel_5 numeric
@attribute channel_6 numeric
@attribute channel_7 numeric
@attribute class {0,70}

@data
0.060781,0.234741,0.169327,0.049051,0.061924,0.093951,0.024741,0.163369,70
0.060611,0.234508,0.169092,0.048816,0.061775,0.093764,0.024657,0.163381,70
0.061188,0.234863,0.16973,0.049289,0.062629,0.094333,0.025127,0.163129,70
0.061178,0.234963,0.169745,0.049387,0.06254,0.094412,0.025158,0.163152,70
0.060839,0.234806,0.169288,0.049101,0.062041,0.094028,0.024784,0.163289,70
0.060553,0.234551,0.168992,0.048784,0.061675,0.093696,0.02459,0.163437,70
0.061076,0.234802,0.169585,0.049187,0.062502,0.094187,0.025005,0.163155,70
0.061126,0.234945,0.169733,0.049362,0.062594,0.094383,0.025126,0.163081,70
0.060846,0.234763,0.169382,0.049152,0.062175,0.094105,0.024825,0.163136,70
0.06046,0.234477,0.168921,0.04878,0.06163,0.093678,0.024481,0.163371,70
0.060957,0.234743,0.169377,0.049116,0.062358,0.094045,0.024886,0.163221,70
0.061196,0.234935,0.169723,0.049391,0.062611,0.094372,0.025208,0.16311,70
0.060898,0.23475,0.169452,0.049179,0.062287,0.094141,0.024863,0.163102,70
0.060409,0.234442,0.168863,0.048729,0.06168,0.093623,0.024462,0.163289,70
0.060707,0.234532,0.169206,0.048895,0.062197,0.093859,0.024685,0.163098,70
0.061105,0.234866,0.169746,0.049334,0.062657,0.094391,0.025071,0.162973,70
0.061,0.234855,0.169522,0.049267,0.062354,0.094248,0.024925,0.163163,70
0.060587,0.234628,0.169033,0.048925,0.06174,0.093813,0.024562,0.163419,70
0.060802,0.234685,0.16929,0.049004,0.062114,0.093944,0.024771,0.163368,70
0.061229,0.235021,0.169852,0.049428,0.062782,0.094474,0.025195,0.163113,70
0.06109,0.234975,0.169681,0.049344,0.062483,0.094364,0.025094,0.163167,70
0.060461,0.234496,0.168959,0.048759,0.061604,0.093701,0.024472,0.163201,70
0.060642,0.234415,0.16919,0.048867,0.061971,0.093782,0.024553,0.163388,70
0.061419,0.235028,0.170072,0.049596,0.063001,0.094639,0.025352,0.163172,70
0.061191,0.23502,0.169776,0.049434,0.06257,0.094483,0.025227,0.163068,70
0.060604,0.234609,0.169024,0.0489,0.061746,0.093822,0.024616,0.163171,70
0.060531,0.234423,0.168895,0.048791,0.061737,0.09364,0.024423,0.163499,70
0.061442,0.235113,0.169935,0.049585,0.062933,0.094585,0.025285,0.163368,70
0.06129,0.235191,0.169886,0.049514,0.062666,0.094571,0.025328,0.163218,70
0.060684,0.234706,0.169198,0.048987,0.061925,0.093954,0.024677,0.163146,70
0.060328,0.234231,0.168796,0.04862,0.061568,0.093516,0.024329,0.163291,70
0.061286,0.23494,0.1698,0.049454,0.062877,0.094424,0.025135,0.163324,70
0.061314,0.235184,0.169926,0.049531,0.062747,0.094574,0.025323,0.163182,70
0.060781,0.234765,0.169257,0.049037,0.062083,0.093988,0.024807,0.163083,70
0.060248,0.234216,0.168772,0.048534,0.061459,0.093422,0.024269,0.163252,70
0.061121,0.234746,0.169716,0.049288,0.062689,0.09427,0.024982,0.1633,70
0.061322,0.235128,0.169968,0.049528,0.062828,0.094639,0.025346,0.163083,70
0.06091,0.234875,0.16946,0.049162,0.06222,0.094183,0.024907,0.163108,70
0.060277,0.234348,0.168737,0.04858,0.061442,0.093491,0.024265,0.163279,70
0.061001,0.234737,0.169454,0.049165,0.062478,0.094118,0.024854,0.163418,70
0.061414,0.235205,0.170006,0.049594,0.06295,0.094698,0.025428,0.163141,70
0.060921,0.234861,0.169566,0.049206,0.062352,0.09428,0.024991,0.162949,70
0.060189,0.234201,0.168782,0.048537,0.061466,0.09354,0.024247,0.162976,70
0.060745,0.234475,0.169249,0.048962,0.062214,0.093924,0.024629,0.163318,70
0.061479,0.235286,0.170069,0.049664,0.063004,0.094722,0.02537,0.163303,70
0.061142,0.235166,0.169711,0.0494,0.06247,0.094422,0.025126,0.163258,70
0.060413,0.23455,0.168902,0.048752,0.061593,0.093693,0.02441,0.163234,70
0.060566,0.234397,0.169041,0.048834,0.061933,0.093753,0.024505,0.16339,70
0.061383,0.235083,0.169979,0.049594,0.062984,0.094647,0.025305,0.163209,70
0.061093,0.234996,0.169796,0.049395,0.062546,0.094462,0.025167,0.163056,70
0.060447,0.2345,0.169096,0.048806,0.061738,0.09375,0.024489,0.16305,70
0.060347,0.234252,0.168837,0.048665,0.061677,0.093556,0.024282,0.16333,70
0.061349,0.235003,0.169897,0.049544,0.062946,0.094562,0.025198,0.163273,70
0.061177,0.235059,0.169819,0.049455,0.062644,0.094525,0.02521,0.163079,70
0.060652,0.234679,0.169179,0.048955,0.061894,0.093937,0.024713,0.163093,70
0.06027,0.23423,0.168747,0.048587,0.061489,0.093484,0.02429,0.163297,70
0.061267,0.234851,0.169806,0.049443,0.062811,0.094439,0.025136,0.163288,70
0.061324,0.235105,0.16996,0.04955,0.062755,0.094631,0.025357,0.163114,70
0.060815,0.234846,0.16935,0.049128,0.062076,0.094092,0.024812,0.163146,70
0.060189,0.234295,0.168682,0.048582,0.061396,0.093456,0.024208,0.163267,70
0.061133,0.234811,0.169599,0.049331,0.062646,0.094265,0.024966,0.163386,70
0.061424,0.235207,0.169956,0.049622,0.062866,0.094654,0.025405,0.163223,70
0.060884,0.23484,0.169444,0.049177,0.062193,0.094159,0.024864,0.163081,70
0.060168,0.234243,0.168692,0.048556,0.061392,0.093442,0.024146,0.163162,70
0.060944,0.234568,0.169528,0.049157,0.062416,0.094062,0.024803,0.163349,70
0.061461,0.235102,0.170136,0.049637,0.062947,0.094671,0.025431,0.163157,70
0.061064,0.23495,0.16959,0.049313,0.062361,0.094295,0.025065,0.163153,70
0.060331,0.234383,0.168808,0.048673,0.061462,0.093565,0.024325,0.163234,70
0.060744,0.234522,0.16922,0.049002,0.062151,0.093879,0.024586,0.163489,70
0.061453,0.235188,0.170056,0.049659,0.063035,0.094689,0.025378,0.163247,70
0.061116,0.235005,0.169691,0.049367,0.062485,0.094395,0.025156,0.163123,70
0.060482,0.234492,0.168971,0.048763,0.061595,0.093706,0.024475,0.163231,70
0.060586,0.234344,0.169057,0.048818,0.061897,0.093733,0.024506,0.163414,70
0.061445,0.234993,0.17004,0.049594,0.063034,0.094671,0.025352,0.163181,70
0.061209,0.234958,0.169831,0.049421,0.062601,0.09451,0.02524,0.163097,70
0.060573,0.234623,0.169058,0.048877,0.06177,0.093814,0.024533,0.163201,70
0.060418,0.234317,0.168895,0.04868,0.061666,0.093568,0.024365,0.163409,70
0.061408,0.234958,0.170076,0.04953,0.062954,0.094561,0.025309,0.163293,70
0.061267,0.235156,0.169926,0.049504,0.062665,0.094563,0.025298,0.163203,70
0.060715,0.234735,0.169232,0.048995,0.061932,0.093981,0.024706,0.163154,70
0.060392,0.234319,0.168813,0.04863,0.061496,0.093518,0.024381,0.163457,70
0.061389,0.235007,0.16985,0.049498,0.062823,0.094468,0.02522,0.163512,70
0.061413,0.2352,0.17004,0.049612,0.062807,0.094692,0.025429,0.163228,70
0.060857,0.234801,0.16942,0.049131,0.062125,0.094132,0.024869,0.163145,70
0.060241,0.234277,0.168716,0.04857,0.06141,0.093459,0.024294,0.163289,70
0.061123,0.234738,0.169637,0.04929,0.062631,0.094255,0.024989,0.163368,70
0.061444,0.235194,0.170103,0.049639,0.062909,0.094707,0.02543,0.163207,70
0.06103,0.23495,0.169674,0.049271,0.062272,0.094245,0.02502,0.163222,70
